date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-01-14,META,253.4,255.03,244.61,245.64,29739404,-7.76,-3.06,249.67,0.0,2021-01-14,29739404,245.64
2021-01-15,META,247.9,253.86,247.16,251.36,24942930,3.46,1.4,250.07,0.023286109754111717,2021-01-15,24942930,251.36
2021-01-19,META,256.9,262.2,252.72,261.1,28028546,4.2,1.63,258.23,0.06293763230744198,2021-01-19,28028546,261.1
2021-01-20,META,268.93,270.32,263.6,267.48,25199919,-1.45,-0.53917,267.5825,0.08891060087933567,2021-01-20,25199919,267.48
2021-01-21,META,269.26,273.6,267.49,272.87,20838700,3.61,1.34,270.805,0.1108532812245564,2021-01-21,20838700,272.87
2021-01-22,META,272.01,278.47,272.0,274.5,21954042,2.49,0.91541,274.245,0.11748900830483633,2021-01-22,21954042,274.5
2021-01-25,META,278.14,280.1,271.51,278.01,19087000,-0.13,-0.04673905,276.94,0.13177821201758677,2021-01-25,19087000,278.01
2021-01-26,META,278.14,285.39,277.81,282.05,19373636,3.91,1.41,280.8475,0.1482250447809803,2021-01-26,19373636,282.05
2021-01-27,META,282.53,283.45,268.12,272.14,35346200,-10.39,-3.68,276.56,0.10788145253216097,2021-01-27,35346200,272.14
2021-01-28,META,277.18,286.79,264.7,265.0,37758844,-12.18,-4.39,273.4175,0.07881452532160882,2021-01-28,37758844,265.0
2021-01-29,META,265.3,266.56,254.85,258.33,30389500,-6.97,-2.63,261.26,0.05166096726917435,2021-01-29,30389500,258.33
2021-02-01,META,259.52,264.17,254.91,262.01,22914300,2.49,0.95946,260.1525,0.06664224067741409,2021-02-01,22914300,262.01
2021-02-02,META,264.0,268.85,263.27,267.08,17320800,3.08,1.17,265.8,0.08728220159583122,2021-02-02,17320800,267.08
2021-02-03,META,265.62,269.2,263.84,266.65,14223400,1.03,0.38777,266.3275,0.08553167236606418,2021-02-03,14223400,266.65
2021-02-04,META,267.01,268.16,264.0,266.49,16060000,-0.52,-0.19475,266.415,0.08488031265266249,2021-02-04,16060000,266.49
2021-02-05,META,266.8,269.17,265.67,268.1,12454400,1.3,0.48726,267.435,0.09143461976876743,2021-02-05,12454400,268.1
2021-02-08,META,268.75,269.86,265.0,266.58,13755200,-2.17,-0.80744,267.5475,0.08524670249145094,2021-02-08,13755200,266.58
2021-02-09,META,266.44,273.39,265.75,269.45,14613400,3.01,1.13,268.7575,0.09693046735059441,2021-02-09,14613400,269.45
2021-02-10,META,272.45,273.8,267.72,271.87,14687200,-0.5765,-0.21288,271.46,0.10678228301579562,2021-02-10,14687200,271.87
2021-02-11,META,271.89,273.58,268.49,270.39,12828600,-1.5,-0.55169,271.0875,0.10075720566682955,2021-02-11,12828600,270.39
2021-02-12,META,270.52,271.18,268.34,270.5,9097600,-0.02,-0.00739317,270.135,0.10120501546979321,2021-02-12,9097600,270.5
2021-02-16,META,270.8,276.6,270.05,273.97,15417243,3.17,1.17,272.855,0.11533137925419323,2021-02-16,15417243,273.97
2021-02-17,META,271.24,273.97,269.58,273.57,12763240,2.33,0.85902,272.09,0.11370297997068879,2021-02-17,12763240,273.57
2021-02-18,META,269.57,271.95,266.03,269.39,15249134,-0.175,-0.06677301,269.235,0.09668620745806877,2021-02-18,15249134,269.39
2021-02-19,META,269.86,270.27,260.15,261.56,25622600,-8.3,-3.08,265.46,0.06481029148347184,2021-02-19,25622600,261.56
2021-02-22,META,257.95,263.07,257.53,260.33,17434900,2.38,0.92266,259.72,0.05980296368669591,2021-02-22,17434900,260.33
2021-02-23,META,259.5,267.46,254.96,265.86,21924600,6.36,2.45,261.945,0.08231558378114334,2021-02-23,21924600,265.86
2021-02-24,META,262.33,266.38,258.39,264.31,15736123,1.99,0.75477,262.8525,0.07600553655756404,2021-02-24,15736123,264.31
2021-02-25,META,262.3,266.94,254.04,254.69,19053142,-7.61,-2.9,259.4925,0.03684253378928526,2021-02-25,19053142,254.69
2021-02-26,META,256.47,265.55,256.47,257.62,26619517,1.15,0.4484,259.0275,0.048770558540954356,2021-02-26,26619517,257.62
2021-03-01,META,260.82,266.65,257.9,264.91,22157300,4.09,1.57,262.57,0.07844813548282059,2021-03-01,22157300,264.91
2021-03-02,META,265.78,266.71,258.65,259.0,15191722,-6.78,-2.55,262.535,0.05438853606904415,2021-03-02,15191722,259.0
2021-03-03,META,260.29,260.99,255.1,255.41,15513515,-4.88,-1.87,257.9475,0.03977365249959286,2021-03-03,15513515,255.41
2021-03-04,META,256.47,266.49,253.5,257.64,31626500,1.17,0.45619,258.525,0.04885197850512957,2021-03-04,31626500,257.64
2021-03-05,META,260.67,265.45,255.61,264.28,26820100,3.61,1.38,261.5025,0.075883406611301,2021-03-05,26820100,264.28
2021-03-08,META,265.55,265.58,255.05,255.31,18391800,-10.24,-3.86,260.3725,0.039366552678716804,2021-03-08,18391800,255.31
2021-03-09,META,261.18,268.53,259.81,265.74,22039740,4.56,1.75,263.815,0.08182706399609185,2021-03-09,22039740,265.74
2021-03-10,META,268.64,268.97,262.87,264.9,14210318,-3.74,-1.39,266.345,0.07840742550073276,2021-03-10,14210318,264.9
2021-03-11,META,268.11,277.9,267.82,273.88,21834000,5.77,2.15,271.9275,0.11496498941540478,2021-03-11,21834000,273.88
2021-03-12,META,269.14,269.74,264.02,268.4,20600200,-0.74,-0.27495,267.825,0.0926559192313956,2021-03-12,20600200,268.4
2021-03-15,META,269.08,275.96,268.5,273.75,16856746,4.67,1.74,271.8225,0.11443575964826591,2021-03-15,16856746,273.75
2021-03-16,META,276.08,282.14,274.8,279.28,22437700,3.19,1.16,278.075,0.1369483797427129,2021-03-16,22437700,279.28
2021-03-17,META,275.71,286.23,275.41,284.01,21315044,8.31,3.01,280.34,0.15620420127015144,2021-03-17,21315044,284.01
2021-03-18,META,279.87,285.19,278.28,278.62,18754853,-1.25,-0.44664,280.49,0.13426152092493093,2021-03-18,18754853,278.62
2021-03-19,META,281.22,292.8,281.2,290.11,38930536,8.89,3.16,286.3325,0.1810372903435924,2021-03-19,38930536,290.11
2021-03-22,META,290.45,299.71,286.75,293.54,28273100,3.09,1.06,292.6125,0.195000814199642,2021-03-22,28273100,293.54
2021-03-23,META,293.15,298.0,289.81,290.63,23000929,-2.52,-0.85963,292.8975,0.18315420941214788,2021-03-23,23000929,290.63
2021-03-24,META,291.0,291.72,281.16,282.14,18675046,-8.86,-3.04,286.505,0.14859143461976876,2021-03-24,18675046,282.14
2021-03-25,META,280.98,288.06,277.75,278.74,24505648,-2.24,-0.79721,281.3825,0.1347500407099822,2021-03-25,24505648,278.74
2021-03-26,META,278.3,284.5,277.77,283.02,17629200,4.72,1.7,280.8975,0.15217391304347827,2021-03-26,17629200,283.02
2021-03-29,META,285.77,293.18,284.7,290.82,21718831,5.05,1.77,288.6175,0.1839276990718124,2021-03-29,21718831,290.82
2021-03-30,META,289.83,292.47,286.7,288.0,17474537,-1.83,-0.6314,289.25,0.17244748412310695,2021-03-30,17474537,288.0
2021-03-31,META,289.99,296.5,288.61,294.53,19498200,4.54,1.57,292.4075,0.19903110242631494,2021-03-31,19498200,294.53
2021-04-01,META,298.4,302.4,296.6,298.66,17616000,0.26,0.08713137,299.015,0.21584432502849715,2021-04-01,17616000,298.66
2021-04-05,META,300.89,310.77,300.68,308.91,28237006,8.02,2.67,305.3125,0.2575720566682953,2021-04-05,28237006,308.91
2021-04-06,META,308.84,311.35,305.25,306.26,17335246,-2.58,-0.83538,307.925,0.24678391141507894,2021-04-06,17335246,306.26
2021-04-07,META,306.34,314.25,305.5,313.09,22855241,6.75,2.2,309.795,0.2745888291809151,2021-04-07,22855241,313.09
2021-04-08,META,314.85,315.88,310.05,313.02,20894148,-1.83,-0.58123,313.45,0.27430385930630186,2021-04-08,20894148,313.02
2021-04-09,META,311.4,314.74,310.33,312.46,15988600,1.06,0.3404,312.2325,0.27202410030939594,2021-04-09,15988600,312.46
2021-04-12,META,311.05,312.15,307.93,311.54,10881935,0.49,0.15753,310.6675,0.268278781957336,2021-04-12,10881935,311.54
2021-04-13,META,312.21,314.43,309.32,309.76,14036927,-2.45,-0.78473,311.43,0.2610324051457418,2021-04-13,14036927,309.76
2021-04-14,META,307.3,308.03,301.95,302.82,17421400,-4.48,-1.46,305.025,0.23277967757694196,2021-04-14,17421400,302.82
2021-04-15,META,306.34,310.14,304.1,307.82,14558300,1.48,0.48312,307.1,0.25313466862074585,2021-04-15,14558300,307.82
2021-04-16,META,308.17,308.95,304.61,306.18,13059200,-1.99,-0.64575,306.9775,0.24645823155837832,2021-04-16,13059200,306.18
2021-04-19,META,305.01,307.7,300.56,302.24,14553507,-2.77,-0.90817,303.8775,0.2304184986158606,2021-04-19,14553507,302.24
2021-04-20,META,301.99,305.1,297.21,302.65,16796442,0.66,0.21855,301.7375,0.23208760788145244,2021-04-20,16796442,302.65
2021-04-21,META,301.95,301.98,297.39,301.47,14863500,-0.475,-0.15897,300.6975,0.22728382999511498,2021-04-21,14863500,301.47
2021-04-22,META,301.33,302.92,296.04,296.52,16375400,-4.81,-1.6,299.2025,0.2071323888617489,2021-04-22,16375400,296.52
2021-04-23,META,298.76,302.59,297.15,301.13,17559498,2.37,0.79328,299.9075,0.22589969060413617,2021-04-23,17559498,301.13
2021-04-26,META,303.34,305.8,301.56,303.04,16172600,-0.2996,-0.09889893,303.435,0.2336752971828695,2021-04-26,16172600,303.04
2021-04-27,META,304.28,305.34,301.11,303.57,15309300,-0.71,-0.23334,303.575,0.2358329262335126,2021-04-27,15309300,303.57
2021-04-28,META,307.36,310.92,305.37,307.1,33907210,-0.26,-0.08459136,307.6875,0.25020354991043825,2021-04-28,33907210,307.1
2021-04-29,META,330.12,331.81,321.61,329.51,56526800,-0.61,-0.18478,328.2625,0.34143461976876743,2021-04-29,56526800,329.51
2021-04-30,META,326.14,329.82,324.5,325.08,26332423,-1.06,-0.32501,326.385,0.32340009770395706,2021-04-30,26332423,325.08
2021-05-03,META,326.17,328.55,321.84,322.58,18719500,-3.59,-1.1,324.785,0.313222602182055,2021-05-03,18719500,322.58
2021-05-04,META,320.02,322.19,313.12,318.36,24032600,-1.66,-0.51872,318.4225,0.29604298974108456,2021-05-04,24032600,318.36
2021-05-05,META,318.19,321.06,314.49,315.02,15577605,-3.17,-0.99626,317.19,0.2824458557238234,2021-05-05,15577605,315.02
2021-05-06,META,314.52,320.24,313.27,320.02,19012241,5.5,1.75,317.0125,0.30280084676762753,2021-05-06,19012241,320.02
2021-05-07,META,322.38,322.94,318.75,319.08,15916743,-3.3,-1.02,320.7875,0.2989741084513924,2021-05-07,15916743,319.08
2021-05-10,META,314.35,314.58,304.83,305.97,24239200,-8.38,-2.67,309.9325,0.2456033219345386,2021-05-10,24239200,305.97
2021-05-11,META,300.75,306.84,299.69,306.53,18920100,5.78,1.92,303.4525,0.2478830809314443,2021-05-11,18920100,306.53
2021-05-12,META,301.13,304.96,298.19,302.55,24645500,1.42,0.47156,301.7075,0.2316805080605766,2021-05-12,24645500,302.55
2021-05-13,META,306.08,308.86,302.77,305.26,18079200,-0.8233,-0.2679,305.7425,0.24271291320631816,2021-05-13,18079200,305.26
2021-05-14,META,309.54,316.85,309.08,315.94,19245724,6.4,2.07,312.8525,0.28619117407588357,2021-05-14,19245724,315.94
2021-05-17,META,313.55,315.68,311.58,315.46,15401343,1.91,0.60915,314.0675,0.2842370949356783,2021-05-17,15401343,315.46
2021-05-18,META,315.59,316.5,309.81,309.96,14522403,-5.63,-1.78,312.965,0.2618466047874939,2021-05-18,14522403,309.96
2021-05-19,META,304.19,314.66,303.57,313.59,19106244,9.4,3.09,309.0025,0.2766243282852956,2021-05-19,19106244,313.59
2021-05-20,META,313.58,319.25,313.16,318.61,17320241,5.03,1.6,316.15,0.2970607392932749,2021-05-20,17320241,318.61
2021-05-21,META,319.29,319.93,315.81,316.23,13600901,-3.06,-0.95838,317.815,0.28737176355642413,2021-05-21,13600901,316.23
2021-05-24,META,318.21,325.95,318.03,324.63,16445400,6.42,2.02,321.705,0.3215681485100148,2021-05-24,16445400,324.63
2021-05-25,META,327.08,329.18,324.8,327.79,16437000,0.71,0.21707,327.2125,0.33443250284969883,2021-05-25,16437000,327.79
2021-05-26,META,328.35,329.83,325.82,327.66,9686917,-0.69,-0.21014,327.915,0.33390327308255996,2021-05-26,9686917,327.66
2021-05-27,META,328.0,333.78,326.76,332.75,20477726,4.75,1.45,330.3225,0.3546246539651523,2021-05-27,20477726,332.75
2021-05-28,META,331.0,332.87,328.33,328.73,12037430,-2.27,-0.6858,330.2325,0.338259241165934,2021-05-28,12037430,328.73
2021-06-01,META,330.15,331.42,326.64,329.13,11765906,-1.02,-0.30895,329.335,0.3398876404494382,2021-06-01,11765906,329.13
2021-06-02,META,330.38,331.87,327.12,329.15,11654300,-1.23,-0.3723,329.63,0.3399690604136134,2021-06-02,11654300,329.15
2021-06-03,META,325.78,327.38,323.48,326.04,12610800,0.26,0.07980846,325.67,0.3273082559843674,2021-06-03,12610800,326.04
2021-06-04,META,325.9,332.46,325.18,330.35,13289400,4.45,1.37,328.4725,0.3448542582641265,2021-06-04,13289400,330.35
2021-06-07,META,329.48,337.69,328.93,336.58,20136707,7.1,2.15,333.17,0.3702165771047061,2021-06-07,20136707,336.58
2021-06-08,META,336.7,338.3,332.24,333.68,14580500,-3.02,-0.89694,335.23,0.35841068229929984,2021-06-08,14580500,333.68
2021-06-09,META,335.74,336.8,330.0,330.25,13727946,-5.49,-1.64,333.1975,0.34444715844325047,2021-06-09,13727946,330.25
2021-06-10,META,330.79,333.94,328.55,332.46,13240229,1.67,0.50485,331.435,0.3534440644846115,2021-06-10,13240229,332.46
2021-06-11,META,332.58,332.83,328.93,331.26,13587916,-1.32,-0.3969,331.4,0.34855886663409863,2021-06-11,13587916,331.26
2021-06-14,META,331.9,336.82,329.81,336.77,12250800,4.87,1.47,333.825,0.37099006676437063,2021-06-14,12250800,336.77
2021-06-15,META,336.99,339.92,335.03,336.75,15795226,-0.24,-0.07121873,337.1725,0.3709086468001954,2021-06-15,15795226,336.75
2021-06-16,META,336.7,337.55,328.72,331.08,17232200,-5.62,-1.67,333.5125,0.34782608695652173,2021-06-16,17232200,331.08
2021-06-17,META,330.49,337.98,330.15,336.51,17794100,6.02,1.82,333.7825,0.3699316072300929,2021-06-17,17794100,336.51
2021-06-18,META,334.53,336.15,329.0,329.66,23039500,-4.87,-1.46,332.335,0.3420452695000815,2021-06-18,23039500,329.66
2021-06-21,META,331.09,332.92,327.65,332.29,11337522,1.2,0.36244,330.9875,0.35275199478912245,2021-06-21,11337522,332.29
2021-06-22,META,332.69,339.92,332.6,339.03,15345300,6.34,1.91,336.06,0.38019052271616993,2021-06-22,15345300,339.03
2021-06-23,META,339.35,343.42,338.2,340.59,14817824,1.24,0.3654,340.39,0.38654127992183684,2021-06-23,14817824,340.59
2021-06-24,META,341.85,344.9,341.79,343.18,12329100,1.33,0.38906,342.93,0.39708516528252735,2021-06-24,12329100,343.18
2021-06-25,META,342.59,344.12,339.68,341.37,14594444,-1.22,-0.35611,341.94,0.3897166585246703,2021-06-25,14594444,341.37
2021-06-28,META,342.46,358.14,341.77,355.64,29156132,13.18,3.85,349.5025,0.4478098029636868,2021-06-28,29156132,355.64
2021-06-29,META,356.27,356.74,349.05,351.89,21417305,-4.38,-1.23,353.4875,0.4325435596808338,2021-06-29,21417305,351.89
2021-06-30,META,352.17,352.92,347.17,347.71,15107514,-4.46,-1.27,349.9925,0.41552678716821356,2021-06-30,15107514,347.71
2021-07-01,META,346.82,354.67,346.5,354.39,17137021,7.57,2.18,350.595,0.44272105520273564,2021-07-01,17137021,354.39
2021-07-02,META,355.1,356.44,352.62,354.7,11524614,-0.4,-0.11264,354.715,0.44398306464745163,2021-07-02,11524614,354.7
2021-07-06,META,356.5,358.79,349.18,352.78,13488500,-3.72,-1.04,354.3125,0.4361667480866309,2021-07-06,13488500,352.78
